ID;Nombre;Descripcion;EdadMinima;EdadMaxima;Duracion;NumeroJugadoresMinimo;NumeroJugadoresmaximo;Puntuacion;NumUsos;Objetivo;Tipo;ImagenURL;Fuente
20;Coordinación óculo-manual con globos;Cada jugador toma dos globos y los golpea simultáneamente con las palmas de mano izquierda y derecha. Se debe intentar mantener los dos globos en el aire a la vez el mayor tiempo que se pueda.;5;12;8;1;20;0;0;Equilibrado;Técnica;;Propia
21;Remate con globo;Cada jugador toma un globo y lo lanza al aire por encima de su cabeza. Tras realizar un pequeño salto, el jugador debe golpear el globo con la palma de la mano apuntando hacia el suelo.;5;12;8;1;40;0;0;Remate;Técnica;;Propia
22;Calentamiento básico 1;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 30 segundos. Se procederá a: hacer círculos con los hombros, levantar las rodillas balanceando los brazos, hacer pequeños balanceos sobre la espalda y levantar las rodillas.;5;99;2;1;40;0;0;Equilibrado;Físico;./images/ejer19.png;1000 ejercicios/pág.177
23;Calentamiento básico 2;"El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 30 segundos. Se procederá a: hacer ""8""s con ambos brazos, hacer círculos de hombros inclinados hacia delante, tocar ambos pies con la mano contraria y levantar ambos brazos.";5;99;2;1;40;0;0;Equilibrado;Físico;./images/ejer20.png;1000 ejercicios/pág.177
24;Calentamiento básico 3;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: arquear y hundir la espalda estando apoyado en el suelo sobre manos y rodillas, elevar ambos brazos apoyando el peso del cuerpo sobre la pierna derecha y luego izquierda, e inclinarse hacia atrás doblando ligeramente las rodillas con las piernas separadas(sin forzar, se intentará tocar los talones con las manos).;5;99;2;1;40;0;0;Equilibrado;Físico;./images/ejer21.png;1000 ejercicios/pág.177
25;Calentamiento básico 4;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: hacer círculos con la pelvis, sentarse a izquierda y derecha de rodillas sin ayuda de las manos, y realizar círculos con el tronco.;5;99;2;1;40;0;0;Equilibrado;Físico;./images/ejer22.png;1000 ejercicios/pág.177
26;Calentamiento básico 5;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: rotar hombros saltando, agarrar ambas manos por detrás de la espalda estirando y elevar el torso doblando las rodillas y con suavidad tocar las rodillas con la cabeza.;5;99;2;1;40;0;0;Equilibrado;Físico;./images/ejer23.png;1000 ejercicios/pág.177
27;Juego 3 contra 3 con colocador en movimiento;En cada campo se colocan 3 jugadores y el colocador se sitúa en la mitad de uno de los campos. El entrenador lanza un balón a uno de los jugadores y se monta la jugada acabando en remate suave. Tras ello, rápidamente el colocador se desplaza por debajo de la red al otro campo y se monta la jugada en el mismo. El ejercicio continúa hasta que el balón cae al suelo.;14;99;15;7;14;0;0;Colocación;Técnica;./images/ejer24.png;1000 ejercicios/pág.139
28;Contraataque en situación de estrés;En cada campo se colocan 3 jugadores de campo y un colocador. El entrenador lanza un balón a uno de los jugadores y se monta jugada, permitiendo solamente el remate desde zona zaguera. Si el balón cae al suelo, el entrenador lanza rápidamente otro balón al equipo que ha perdido el punto, sin parar el juego.;14;99;10;8;16;0;0;Defensa;Técnica;./images/ejer25.png;1000 ejercicios/pág.139
29;Imitación de posiciones;Organizados en fila india, los jugadores realizan la imitación de las posiciones de juego en todas sus versiones: gesto defensivo alto, bajo y con desplazamiento a cada lado.;4;18;5;1;99;0;0;Recepción;Técnica;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
30;Imitación de desplazamientos;Organizados en el campo como indica la imagen, los distintos jugadores se moverán para realizar los desplazamientos de defensa. El entrenador los podrá parar en determinados momentos para que quedan fijados y se den cuenta de la posición corporal. Los puntos rojos son los líberos y las líneas, el desplazamiento a realizar.;4;18;5;1;99;0;0;Recepción;Técnica;./images/ejer26.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
31;Movimientos con los ojos cerrados;Se mandará recorrer una distancia corta, lanzar un balón o pelota pequeña a una determinada zona del campo o correr una distancia en un tiempo dado, con los ojos cerrados, con el objetivo de aumentar la consciencia del campo para el jugador.;14;40;5;1;99;0;0;Equilibrado;Equilibrado;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
32;Pases de balón a zona alejada;Realizar una serie de pases adelantados en carrera por parejas, capturar el balón antes de que salga por la línea final del campo.;4;40;8;2;20;0;0;Equilibrado;Equilibrado;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
33;Salidas en carrera;Salidas en carrera por parejas en distintas posiciones del campo, específicas o no, a coger un balón lanzado adelante, compitiendo con el compañero.;4;40;5;2;40;0;0;Equilibrado;Físico;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
34;Salidas en carrera tocando línea;Salidas en carrera por parejas o cuartetos desde línea de fondo, tocando la línea de mitad de campo y volviendo corriendo a la zona de partida. 10 repeticiones intercaladas con 10 segundos de descanso.;4;40;6;2;40;0;0;Equilibrado;Físico;./images/ejer27.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
35;Desplazamientos bordeando obstáculos;Sobre dos referencias separadas 2-4 metros, pueden ser conos o aros,  el jugador realizará desplazamientos bordeándolas. Cada vez realizará un tipo de desplazamiento diferente al anterior, pudiendo ser recto,lateral o con paso cruzado.;4;40;5;2;20;0;0;Equilibrado;Físico;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
36;Pareja de sombra;Por parejas, uno ejecuta rápidamente distintos tipos de desplazamientos y acciones comunicados por el entrenador y el compañero actuará como espejo desplazándose y realizando los ejercicios tan rápidamente como pueda e imitando al compañero.;4;40;5;2;40;0;0;Equilibrado;Equilibrado;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
37;Robo de balón en sprint;Aceleración del jugador para interceptar un balón que se pasan a ritmo constante dos compañeros en una posición estática. Distancia a la línea de pase 3m.;4;40;5;2;40;0;0;Equilibrado;Equilibrado;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
38;Bloqueo y desplazamiento de defensa;Por tríos, A salta en la red sosteniendo el balón, y B empuja la bola con el gesto de bloqueo. Tras ello, C lanza un balón complicado en el campo de B, y este lo recibí con desplazamiento.;14;99;10;8;16;0;0;Equilibrado;Técnica;;1010 ejercicios/pág.139
39;Gestos de voleibol con globo;Cada jugador toma un globo y realiza 10 toques de antebrazos y 10 toques de dedos. El ejercicio se termina cuando todos los jugadores lo han conseguido completar sin que el globo toque el suelo.;14;99;10;8;16;0;0;Remate;Físico;;1011 ejercicios/pág.139
40;Coordinación óculo-manual con globos;Cada jugador toma dos globos y los golpea simultáneamente con las palmas de mano izquierda y derecha. Se debe intentar mantener los dos globos en el aire a la vez el mayor tiempo que se pueda.;14;99;10;8;16;0;0;Equilibrado;Físico;;1012 ejercicios/pág.139
41;Remate con globo;Cada jugador toma un globo y lo lanza al aire por encima de su cabeza. Tras realizar un pequeño salto, el jugador debe golpear el globo con la palma de la mano apuntando hacia el suelo.;14;99;10;8;16;0;0;Equilibrado;Físico;;1013 ejercicios/pág.139
42;Calentamiento básico 6;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 30 segundos. Se procederá a: hacer círculos con los hombros, levantar las rodillas balanceando los brazos, hacer pequeños balanceos sobre la espalda y levantar las rodillas.;14;99;10;8;16;0;0;Equilibrado;Físico;;1014 ejercicios/pág.139
43;Calentamiento básico 7;"El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 30 segundos. Se procederá a: hacer ""8""s con ambos brazos, hacer círculos de hombros inclinados hacia delante, tocar ambos pies con la mano contraria y levantar ambos brazos.";14;99;10;8;16;0;0;Equilibrado;Físico;;1015 ejercicios/pág.139
44;Calentamiento básico 8;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: arquear y hundir la espalda estando apoyado en el suelo sobre manos y rodillas, elevar ambos brazos apoyando el peso del cuerpo sobre la pierna derecha y luego izquierda, e inclinarse hacia atrás doblando ligeramente las rodillas con las piernas separadas(sin forzar, se intentará tocar los talones con las manos).;14;99;10;8;16;0;0;Equilibrado;Técnica;;1016 ejercicios/pág.139
45;Calentamiento básico 9;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: hacer círculos con la pelvis, sentarse a izquierda y derecha de rodillas sin ayuda de las manos, y realizar círculos con el tronco.;14;99;10;8;16;0;0;Colocación;Técnica;;1017 ejercicios/pág.139
46;Calentamiento básico 10;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: rotar hombros saltando, agarrar ambas manos por detrás de la espalda estirando y elevar el torso doblando las rodillas y con suavidad tocar las rodillas con la cabeza.;14;99;10;8;16;0;0;Defensa;Técnica;;1018 ejercicios/pág.139
47;Juego 3 contra 3 con colocador en movimiento;En cada campo se colocan 3 jugadores y el colocador se sitúa en la mitad de uno de los campos. El entrenador lanza un balón a uno de los jugadores y se monta la jugada acabando en remate suave. Tras ello, rápidamente el colocador se desplaza por debajo de la red al otro campo y se monta la jugada en el mismo. El ejercicio continúa hasta que el balón cae al suelo.;6;99;10;8;16;0;0;Defensa;Técnica;;1019 ejercicios/pág.139
48;Contraataque en situación de estrés;En cada campo se colocan 3 jugadores de campo y un colocador. El entrenador lanza un balón a uno de los jugadores y se monta jugada, permitiendo solamente el remate desde zona zaguera. Si el balón cae al suelo, el entrenador lanza rápidamente otro balón al equipo que ha perdido el punto, sin parar el juego.;14;99;10;8;16;0;0;Defensa;Técnica;;1020 ejercicios/pág.139
49;Remate directo al compañero;Por parejas, A toma un balón y lo remata por encima de la red, que se encuentra a una altura cómoda de remate, B lo toma con las manos y se lo devuelve a A haciéndolo rodar por el suelo. Tras 20 remates, los jugadores se intercambian los papeles.;14;99;10;8;16;0;0;Defensa;Técnica;;1021 ejercicios/pág.139
50;Defensa de remate desde un banco;Por tríos, A se sitúa encima de un banco y realiza un remate a B. Este lo debe recibir correctamente hacia delante y pasárselo a C, que se encuentra entre ambos. Por último, C le pasa de vuelta el balón a A y se repite el ejercicio. ;14;99;10;8;16;0;0;Saque;Técnica;;1022 ejercicios/pág.139
51;Defensa de remate suave;Por parejas, A lanza un balón suave por encima de la red y B lo debe recibir intentando que el balón vaya cerca de la red. A pasa por debajo de la misma y toma el balón para repetirlo.;6;99;10;8;16;0;0;Saque;Táctica;;1023 ejercicios/pág.139
52;Defensa de remate múltiple;En grupos de 5, B se sitúa de cara hacia el resto. Los cuatro compañeros restantes realizan un remate suave hacia B y éste lo recibe devolviendo el balón hacia sus compañeros. Tras haber recibido correctamente 15 remates, otro jugador pasa al papel de B, y B pasa a ser uno de los rematadores. El ejercicio termina cuando los 5 jugadores han recibido todos los balones.;14;99;10;8;16;0;0;Saque;Técnica;;1024 ejercicios/pág.139
53;Saque apuntando a un compañero;A y B se turnan para realizar un saque a C, que se encuentra en el campo contrario. C debe ser capaz de recibir el saque y pasárselo a D, que tomará el balón y se lo volverá a pasar a A y a B.;14;99;10;8;16;0;0;Bloqueo;Táctica;;1025 ejercicios/pág.139
54;Saque apuntando a un compañero y terminando la jugada;A y B se turnan para realizar un saque a C, que se encuentra en el campo contrario. Este debe ser capaz de recibir el balón hacia su colocador, que colocará la pelota y C, u otro compañero, acabará la jugada con un remate.;14;40;10;8;16;0;0;Bloqueo;Técnica;;1026 ejercicios/pág.139
55;Bloqueo simple;Por parejas, A y B se sitúan pegados a la red. A lanza un balón por encima y B lo baja hacia el suelo con el gesto de bloqueo. Tras 15 repeticiones, A y B se intercambian los papeles.;6;40;10;2;16;0;0;Bloqueo;Técnica;;1027 ejercicios/pág.139
56;Bloqueo por zona 3 y 6;Por tríos, A realiza un remate desde zona 4 por encima de la red y C bloquea. Tras ello, B realiza un remate desde zona 3 y C se desplaza hasta allí y bloquea el remate. Tras 10 remates, otro jugador pasa a realizar el bloqueo.;14;40;10;2;16;0;0;Recepción;Técnica;;1028 ejercicios/pág.139
57;Bloqueo y desplazamiento de defensa;Por tríos, A salta en la red sosteniendo el balón, y B empuja la bola con el gesto de bloqueo. Tras ello, C lanza un balón complicado en el campo de B, y este lo recibí con desplazamiento.;5;40;12;8;16;0;0;Equilibrado;Técnica;;1029 ejercicios/pág.139
58;Gestos de voleibol con globo;Cada jugador toma un globo y realiza 10 toques de antebrazos y 10 toques de dedos. El ejercicio se termina cuando todos los jugadores lo han conseguido completar sin que el globo toque el suelo.;14;99;10;8;16;0;0;Remate;Físico;;1030 ejercicios/pág.139
59;Coordinación óculo-manual con globos;Cada jugador toma dos globos y los golpea simultáneamente con las palmas de mano izquierda y derecha. Se debe intentar mantener los dos globos en el aire a la vez el mayor tiempo que se pueda.;14;99;10;8;16;0;0;Equilibrado;Físico;;1031 ejercicios/pág.139
60;Remate con globo;Cada jugador toma un globo y lo lanza al aire por encima de su cabeza. Tras realizar un pequeño salto, el jugador debe golpear el globo con la palma de la mano apuntando hacia el suelo.;14;40;10;8;16;0;0;Defensa;Físico;;1032 ejercicios/pág.139
61;Calentamiento básico 11;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 30 segundos. Se procederá a: hacer círculos con los hombros, levantar las rodillas balanceando los brazos, hacer pequeños balanceos sobre la espalda y levantar las rodillas.;6;99;10;8;16;0;0;Defensa;Físico;;1033 ejercicios/pág.139
62;Calentamiento básico 12;"El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 30 segundos. Se procederá a: hacer ""8""s con ambos brazos, hacer círculos de hombros inclinados hacia delante, tocar ambos pies con la mano contraria y levantar ambos brazos.";14;40;15;8;16;0;0;Defensa;Físico;;1034 ejercicios/pág.139
63;Calentamiento básico 13;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: arquear y hundir la espalda estando apoyado en el suelo sobre manos y rodillas, elevar ambos brazos apoyando el peso del cuerpo sobre la pierna derecha y luego izquierda, e inclinarse hacia atrás doblando ligeramente las rodillas con las piernas separadas(sin forzar, se intentará tocar los talones con las manos).;14;99;10;6;16;0;0;Saque;Técnica;;1035 ejercicios/pág.139
64;Calentamiento básico 14;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: hacer círculos con la pelvis, sentarse a izquierda y derecha de rodillas sin ayuda de las manos, y realizar círculos con el tronco.;5;99;10;2;16;0;0;Saque;Técnica;;1036 ejercicios/pág.139
65;Calentamiento básico 15;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: rotar hombros saltando, agarrar ambas manos por detrás de la espalda estirando y elevar el torso doblando las rodillas y con suavidad tocar las rodillas con la cabeza.;14;99;10;8;16;0;0;Saque;Técnica;;1037 ejercicios/pág.139
66;Juego 3 contra 3 con colocador en movimiento;En cada campo se colocan 3 jugadores y el colocador se sitúa en la mitad de uno de los campos. El entrenador lanza un balón a uno de los jugadores y se monta la jugada acabando en remate suave. Tras ello, rápidamente el colocador se desplaza por debajo de la red al otro campo y se monta la jugada en el mismo. El ejercicio continúa hasta que el balón cae al suelo.;5;40;14;8;16;0;0;Bloqueo;Técnica;;1038 ejercicios/pág.139
67;Contraataque en situación de estrés;En cada campo se colocan 3 jugadores de campo y un colocador. El entrenador lanza un balón a uno de los jugadores y se monta jugada, permitiendo solamente el remate desde zona zaguera. Si el balón cae al suelo, el entrenador lanza rápidamente otro balón al equipo que ha perdido el punto, sin parar el juego.;6;99;10;8;16;0;0;Bloqueo;Técnica;;1039 ejercicios/pág.139
68;Remate directo al compañero;Por parejas, A toma un balón y lo remata por encima de la red, que se encuentra a una altura cómoda de remate, B lo toma con las manos y se lo devuelve a A haciéndolo rodar por el suelo. Tras 20 remates, los jugadores se intercambian los papeles.;5;40;10;8;16;0;0;Bloqueo;Táctica;;1040 ejercicios/pág.139
69;Defensa de remate desde un banco;Por tríos, A se sitúa encima de un banco y realiza un remate a B. Este lo debe recibir correctamente hacia delante y pasárselo a C, que se encuentra entre ambos. Por último, C le pasa de vuelta el balón a A y se repite el ejercicio. ;5;40;10;6;16;0;0;Recepción;Técnica;;1041 ejercicios/pág.139
70;Defensa de remate suave;Por parejas, A lanza un balón suave por encima de la red y B lo debe recibir intentando que el balón vaya cerca de la red. A pasa por debajo de la misma y toma el balón para repetirlo.;5;40;12;8;16;0;0;Equilibrado;Táctica;;1042 ejercicios/pág.139
71;Defensa de remate múltiple;En grupos de 5, B se sitúa de cara hacia el resto. Los cuatro compañeros restantes realizan un remate suave hacia B y éste lo recibe devolviendo el balón hacia sus compañeros. Tras haber recibido correctamente 15 remates, otro jugador pasa al papel de B, y B pasa a ser uno de los rematadores. El ejercicio termina cuando los 5 jugadores han recibido todos los balones.;14;40;10;2;16;0;0;Remate;Táctica;;1043 ejercicios/pág.139
72;Bloqueo por zona 3 y 7;Por tríos, A realiza un remate desde zona 4 por encima de la red y C bloquea. Tras ello, B realiza un remate desde zona 3 y C se desplaza hasta allí y bloquea el remate. Tras 10 remates, otro jugador pasa a realizar el bloqueo.;14;40;16;8;16;0;0;Equilibrado;Táctica;;1044 ejercicios/pág.139
73;Bloqueo y desplazamiento de defensa;Por tríos, A salta en la red sosteniendo el balón, y B empuja la bola con el gesto de bloqueo. Tras ello, C lanza un balón complicado en el campo de B, y este lo recibí con desplazamiento.;5;40;10;8;16;0;0;Equilibrado;Táctica;;1045 ejercicios/pág.139
74;Gestos de voleibol con globo;Cada jugador toma un globo y realiza 10 toques de antebrazos y 10 toques de dedos. El ejercicio se termina cuando todos los jugadores lo han conseguido completar sin que el globo toque el suelo.;5;40;10;8;16;0;0;Equilibrado;Táctica;;1046 ejercicios/pág.139
75;Coordinación óculo-manual con globos;Cada jugador toma dos globos y los golpea simultáneamente con las palmas de mano izquierda y derecha. Se debe intentar mantener los dos globos en el aire a la vez el mayor tiempo que se pueda.;5;99;15;2;16;0;0;Equilibrado;Táctica;;1047 ejercicios/pág.139
76;Remate con globo;Cada jugador toma un globo y lo lanza al aire por encima de su cabeza. Tras realizar un pequeño salto, el jugador debe golpear el globo con la palma de la mano apuntando hacia el suelo.;6;99;10;6;16;0;0;Equilibrado;Táctica;;1048 ejercicios/pág.139
77;Calentamiento básico 16;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 30 segundos. Se procederá a: hacer círculos con los hombros, levantar las rodillas balanceando los brazos, hacer pequeños balanceos sobre la espalda y levantar las rodillas.;14;99;10;8;16;0;0;Colocación;Táctica;;1049 ejercicios/pág.139
78;Calentamiento básico 17;"El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 30 segundos. Se procederá a: hacer ""8""s con ambos brazos, hacer círculos de hombros inclinados hacia delante, tocar ambos pies con la mano contraria y levantar ambos brazos.";5;99;10;2;16;0;0;Defensa;Táctica;;1050 ejercicios/pág.139
79;Calentamiento básico 18;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: arquear y hundir la espalda estando apoyado en el suelo sobre manos y rodillas, elevar ambos brazos apoyando el peso del cuerpo sobre la pierna derecha y luego izquierda, e inclinarse hacia atrás doblando ligeramente las rodillas con las piernas separadas(sin forzar, se intentará tocar los talones con las manos).;6;99;10;8;16;0;0;Defensa;Táctica;;1051 ejercicios/pág.139
80;Calentamiento básico 19;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: hacer círculos con la pelvis, sentarse a izquierda y derecha de rodillas sin ayuda de las manos, y realizar círculos con el tronco.;14;99;17;8;16;0;0;Defensa;Táctica;;1052 ejercicios/pág.139
81;Calentamiento básico 20;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: rotar hombros saltando, agarrar ambas manos por detrás de la espalda estirando y elevar el torso doblando las rodillas y con suavidad tocar las rodillas con la cabeza.;14;99;10;8;16;0;0;Saque;Táctica;;1053 ejercicios/pág.139
82;Juego 3 contra 3 con colocador en movimiento;En cada campo se colocan 3 jugadores y el colocador se sitúa en la mitad de uno de los campos. El entrenador lanza un balón a uno de los jugadores y se monta la jugada acabando en remate suave. Tras ello, rápidamente el colocador se desplaza por debajo de la red al otro campo y se monta la jugada en el mismo. El ejercicio continúa hasta que el balón cae al suelo.;4;99;10;8;16;0;0;Saque;Táctica;;1054 ejercicios/pág.139
83;Imitación de posiciones;Organizados en fila india, los jugadores realizan la imitación de las posiciones de juego en todas sus versiones: gesto defensivo alto, bajo y con desplazamiento a cada lado.;4;18;5;1;99;0;0;Recepción;Técnica;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
