ID;Nombre;Descripcion;EdadMinima;EdadMaxima;Duracion;NumeroJugadoresMinimo;NumeroJugadoresmaximo;Puntuacion;NumUsos;Objetivo;Tipo;ImagenURL;Fuente
15;Saque apuntando a un compañero y terminando la jugada;A y B se turnan para realizar un saque a C, que se encuentra en el campo contrario. Este debe ser capaz de recibir el balón hacia su colocador, que colocará la pelota y C, u otro compañero, acabará la jugada con un remate.;14;99;15;8;40;0.0;0;Saque;Táctica;images\\ejer15.png;1000 ejercicios/pág.92
16;Bloqueo simple;Por parejas, A y B se sitúan pegados a la red. A lanza un balón por encima y B lo baja hacia el suelo con el gesto de bloqueo. Tras 15 repeticiones, A y B se intercambian los papeles.;10;99;5;2;40;0.0;0;Bloqueo;Técnica;images\\ejer16.png;1000 ejercicios/pág.82
17;Bloqueo por zona 3 y 4;Por tríos, A realiza un remate desde zona 4 por encima de la red y C bloquea. Tras ello, B realiza un remate desde zona 3 y C se desplaza hasta allí y bloquea el remate. Tras 10 remates, otro jugador pasa a realizar el bloqueo.;14;99;15;3;40;0.0;0;Bloqueo;Táctica;images\\ejer17.png;1000 ejercicios/pág.83
18;Bloqueo y desplazamiento de defensa;Por tríos, A salta en la red sosteniendo el balón, y B empuja la bola con el gesto de bloqueo. Tras ello, C lanza un balón complicado en el campo de B, y este lo recibí con desplazamiento.;14;99;12;3;40;0.0;0;Bloqueo;Técnica;images\\ejer18.png;1000 ejercicios/pág.83
19;Gestos de voleibol con globo;Cada jugador toma un globo y realiza 10 toques de antebrazos y 10 toques de dedos. El ejercicio se termina cuando todos los jugadores lo han conseguido completar sin que el globo toque el suelo.;5;12;8;1;40;0.0;0;Recepción;Técnica;;Propia
20;Coordinación óculo-manual con globos;Cada jugador toma dos globos y los golpea simultáneamente con las palmas de mano izquierda y derecha. Se debe intentar mantener los dos globos en el aire a la vez el mayor tiempo que se pueda.;5;12;8;1;20;0.0;0;Equilibrado;Técnica;;Propia
21;Remate con globo;Cada jugador toma un globo y lo lanza al aire por encima de su cabeza. Tras realizar un pequeño salto, el jugador debe golpear el globo con la palma de la mano apuntando hacia el suelo.;5;12;8;1;40;0.0;0;Remate;Técnica;;Propia
22;Calentamiento básico 1;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 30 segundos. Se procederá a: hacer círculos con los hombros, levantar las rodillas balanceando los brazos, hacer pequeños balanceos sobre la espalda y levantar las rodillas.;5;99;2;1;40;0.0;0;Equilibrado;Físico;images\\ejer19.png;1000 ejercicios/pág.177
23;Calentamiento básico 2;"El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 30 segundos. Se procederá a: hacer ""8""s con ambos brazos, hacer círculos de hombros inclinados hacia delante, tocar ambos pies con la mano contraria y levantar ambos brazos.";5;99;2;1;40;0.0;0;Equilibrado;Físico;images\\ejer20.png;1000 ejercicios/pág.177
24;Calentamiento básico 3;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: arquear y hundir la espalda estando apoyado en el suelo sobre manos y rodillas, elevar ambos brazos apoyando el peso del cuerpo sobre la pierna derecha y luego izquierda, e inclinarse hacia atrás doblando ligeramente las rodillas con las piernas separadas(sin forzar, se intentará tocar los talones con las manos).;5;99;2;1;40;0.0;0;Equilibrado;Físico;images\\ejer21.png;1000 ejercicios/pág.177
25;Calentamiento básico 4;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: hacer círculos con la pelvis, sentarse a izquierda y derecha de rodillas sin ayuda de las manos, y realizar círculos con el tronco.;5;99;2;1;40;0.0;0;Equilibrado;Físico;images\\ejer22.png;1000 ejercicios/pág.177
26;Calentamiento básico 5;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: rotar hombros saltando, agarrar ambas manos por detrás de la espalda estirando y elevar el torso doblando las rodillas y con suavidad tocar las rodillas con la cabeza.;5;99;2;1;40;0.0;0;Equilibrado;Físico;images\\ejer23.png;1000 ejercicios/pág.177
27;Juego 3 contra 3 con colocador en movimiento;En cada campo se colocan 3 jugadores y el colocador se sitúa en la mitad de uno de los campos. El entrenador lanza un balón a uno de los jugadores y se monta la jugada acabando en remate suave. Tras ello, rápidamente el colocador se desplaza por debajo de la red al otro campo y se monta la jugada en el mismo. El ejercicio continúa hasta que el balón cae al suelo.;14;99;15;7;14;0.0;0;Colocación;Táctica;images\\ejer24.png;1000 ejercicios/pág.139
28;Contraataque en situación de estrés;En cada campo se colocan 3 jugadores de campo y un colocador. El entrenador lanza un balón a uno de los jugadores y se monta jugada, permitiendo solamente el remate desde zona zaguera. Si el balón cae al suelo, el entrenador lanza rápidamente otro balón al equipo que ha perdido el punto, sin parar el juego.;14;99;10;8;16;0.0;0;Defensa;Táctica;images\\ejer25.png;1000 ejercicios/pág.139
