ID;Nombre;Descripcion;EdadMinima;EdadMaxima;Duracion;NumeroJugadoresMinimo;NumeroJugadoresmaximo;Puntuacion;NumUsos;Objetivo;Tipo;ImagenURL;Fuente
20;Coordinación óculo-manual con globos;Cada jugador toma dos globos y los golpea simultáneamente con las palmas de mano izquierda y derecha. Se debe intentar mantener los dos globos en el aire a la vez el mayor tiempo que se pueda.;5;12;8;1;20;0;0;Equilibrado;Técnica;;Propia
21;Remate con globo;Cada jugador toma un globo y lo lanza al aire por encima de su cabeza. Tras realizar un pequeño salto, el jugador debe golpear el globo con la palma de la mano apuntando hacia el suelo.;5;12;8;1;40;0;0;Remate;Técnica;;Propia
22;Calentamiento básico 1;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 30 segundos. Se procederá a: hacer círculos con los hombros, levantar las rodillas balanceando los brazos, hacer pequeños balanceos sobre la espalda y levantar las rodillas.;5;99;2;1;40;0;0;Equilibrado;Físico;./images/ejer19.png;1000 ejercicios/pág.177
23;Calentamiento básico 2;"El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 30 segundos. Se procederá a: hacer ""8""s con ambos brazos, hacer círculos de hombros inclinados hacia delante, tocar ambos pies con la mano contraria y levantar ambos brazos.";5;99;2;1;40;0;0;Equilibrado;Físico;./images/ejer20.png;1000 ejercicios/pág.177
24;Calentamiento básico 3;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: arquear y hundir la espalda estando apoyado en el suelo sobre manos y rodillas, elevar ambos brazos apoyando el peso del cuerpo sobre la pierna derecha y luego izquierda, e inclinarse hacia atrás doblando ligeramente las rodillas con las piernas separadas(sin forzar, se intentará tocar los talones con las manos).;5;99;2;1;40;0;0;Equilibrado;Físico;./images/ejer21.png;1000 ejercicios/pág.177
25;Calentamiento básico 4;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: hacer círculos con la pelvis, sentarse a izquierda y derecha de rodillas sin ayuda de las manos, y realizar círculos con el tronco.;5;99;2;1;40;0;0;Equilibrado;Físico;./images/ejer22.png;1000 ejercicios/pág.177
26;Calentamiento básico 5;El equipo realiza al mismo tiempo una serie de gestos para calentar, cada ejercicio tiene una duración de unos 40 segundos. Se procederá a: rotar hombros saltando, agarrar ambas manos por detrás de la espalda estirando y elevar el torso doblando las rodillas y con suavidad tocar las rodillas con la cabeza.;5;99;2;1;40;0;0;Equilibrado;Físico;./images/ejer23.png;1000 ejercicios/pág.177
27;Juego 3 contra 3 con colocador en movimiento;En cada campo se colocan 3 jugadores y el colocador se sitúa en la mitad de uno de los campos. El entrenador lanza un balón a uno de los jugadores y se monta la jugada acabando en remate suave. Tras ello, rápidamente el colocador se desplaza por debajo de la red al otro campo y se monta la jugada en el mismo. El ejercicio continúa hasta que el balón cae al suelo.;14;99;15;7;14;0;0;Colocación;Técnica;./images/ejer24.png;1000 ejercicios/pág.139
28;Contraataque en situación de estrés;En cada campo se colocan 3 jugadores de campo y un colocador. El entrenador lanza un balón a uno de los jugadores y se monta jugada, permitiendo solamente el remate desde zona zaguera. Si el balón cae al suelo, el entrenador lanza rápidamente otro balón al equipo que ha perdido el punto, sin parar el juego.;14;99;10;8;16;0;0;Defensa;Técnica;./images/ejer25.png;1000 ejercicios/pág.139
29;Imitación de posiciones;Organizados en fila india, los jugadores realizan la imitación de las posiciones de juego en todas sus versiones: gesto defensivo alto, bajo y con desplazamiento a cada lado.;4;18;5;1;99;0;0;Recepción;Técnica;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
30;Imitación de desplazamientos;Organizados en el campo como indica la imagen, los distintos jugadores se moverán para realizar los desplazamientos de defensa. El entrenador los podrá parar en determinados momentos para que quedan fijados y se den cuenta de la posición corporal. Los puntos rojos son los líberos y las líneas, el desplazamiento a realizar.;4;18;5;1;99;0;0;Recepción;Técnica;./images/ejer26.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
31;Movimientos con los ojos cerrados;Se mandará recorrer una distancia corta, lanzar un balón o pelota pequeña a una determinada zona del campo o correr una distancia en un tiempo dado, con los ojos cerrados, con el objetivo de aumentar la consciencia del campo para el jugador.;14;40;5;1;99;0;0;Equilibrado;Equilibrado;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
32;Pases de balón a zona alejada;Realizar una serie de pases adelantados en carrera por parejas, capturar el balón antes de que salga por la línea final del campo.;4;40;8;2;20;0;0;Equilibrado;Equilibrado;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
33;Salidas en carrera;Salidas en carrera por parejas en distintas posiciones del campo, específicas o no, a coger un balón lanzado adelante, compitiendo con el compañero.;4;40;5;2;40;0;0;Equilibrado;Físico;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
34;Salidas en carrera tocando línea;Salidas en carrera por parejas o cuartetos desde línea de fondo, tocando la línea de mitad de campo y volviendo corriendo a la zona de partida. 10 repeticiones intercaladas con 10 segundos de descanso.;4;40;6;2;40;0;0;Equilibrado;Físico;./images/ejer27.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
35;Desplazamientos bordeando obstáculos;Sobre dos referencias separadas 2-4 metros, pueden ser conos o aros,  el jugador realizará desplazamientos bordeándolas. Cada vez realizará un tipo de desplazamiento diferente al anterior, pudiendo ser recto,lateral o con paso cruzado.;4;40;5;2;20;0;0;Equilibrado;Físico;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
36;Pareja de sombra;Por parejas, uno ejecuta rápidamente distintos tipos de desplazamientos y acciones comunicados por el entrenador y el compañero actuará como espejo desplazándose y realizando los ejercicios tan rápidamente como pueda e imitando al compañero.;4;40;5;2;40;0;0;Equilibrado;Equilibrado;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
37;Robo de balón en sprint;Aceleración del jugador para interceptar un balón que se pasan a ritmo constante dos compañeros en una posición estática. Distancia a la línea de pase 3m.;4;40;5;2;40;0;0;Equilibrado;Equilibrado;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
38;Movimiento por referencias;Por parejas o tríos, actúan simultáneamente desplazándose entre dos referencias según las indicaciones del profesor: hacia delante, hacia atrás, posición defensiva, puede haber más de dos referencias.;1;99;6;1;40;0;0;Equilibrado;Físico;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
39;Estiramiento de hombros y espalda;Los jugadores, en una superficie cómoda como una colchoneta, apoyan una mano en el suelo mientras con la otra extienden su cuerpo en forma lateral sobre el suelo. Esta ejercitación se hace de uno y otro lado.;1;99;1;1;40;0;0;Equilibrado;Físico;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
40;Acrobacias sobre el suelo;Mantener el equilibrio por parejas,  con distintas posiciones y movimientos de las piernas, volteretas hacia delante o hacia atrás normales o lanzadas, solos o por parejas, y ruedas laterales.;8;20;5;2;40;0;0;Equilibrado;Físico;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
41;Pases por parejas intercambiando balón;Pases de dedos y antebrazos entre un jugador A y otro jugador B mientras se intercambian un segundo balón de manera controlada.;12;99;8;2;40;0;0;Recepción;Técnica;./images/ejer28.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
42;Pases por parejas manteniendo globo;Pases entre A y B. A tratando de mantener un globo en el aire, tras 10 pases, B pasa a usar el globo.;4;99;8;2;40;0;0;Recepción;Técnica;./images/ejer29.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
43;Toque de antebrazos con pared;A y B se sitúan uno detrás del otro, y se envían el balón pasando por la pared, tocándolo de antebrazos. Tras 10 toques, A y B intercambian roles.;8;99;5;2;20;0;0;Recepción;Técnica;./images/ejer30.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
44;Pases a diferentes longitudes;A hace pases de diferentes longitudes. B va a colocarse cada vez debajo del balón para hacer un pase al jugador A, se pueden incluir saltos. A y B se intercambian los roles cada 10 toques de balón.;8;99;8;2;40;0;0;Recepción;Técnica;./images/ejer31.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
45;Pases por parejas en red;Pases 1 contra 1 sobre una pequeña altura, por encima de la red. El entrenador colocará la red a una altura dependiente de la edad y nivel de los jugadores.;8;99;8;2;40;0;0;Recepción;Técnica;./images/ejer32.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
46;Serie de pases con giro intermedio;B hace un pase al jugador A (distancia de 6-9m) y sigue su balón dando una vuelta completa sobre sí mismo (360º) a medio camino. A hace un pase a B, B un pase al A.;8;99;8;2;40;0;0;Recepción;Técnica;./images/ejer33.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
47;Devolver balón al campo;Por parejas con un balón, uno lanza el balón fuera del campo, el compañero sigue el balón y lo regresa hacia el interior del campo con un gesto de antebrazos, colocando el cuerpo hacia el compañero.;6;99;4;2;40;0;0;Recepción;Técnica;./images/ejer34.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
48;Devolver remate y finta;El entrenador remata un balón a media velocidad y lanza un segundo balón con una finta suave sobre el mismo jugador líbero.;12;50;8;1;6;0;0;Recepción;Técnica;./images/ejer35.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
49;Colocación y remate sobre líbero;En tríos con un balón, el jugador A (Pasador), coloca de dedos sobre B (otro jugador), éste golpea sobre C (Líbero), que la devuelve al jugador A, este ejercicio se realiza en las diferentes trayectorias del campo.;12;50;8;3;18;0;0;Recepción;Táctica;./images/ejer36.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
50;Toque de antebrazos sobre canasta;Recepción de frente, hacia ambos lados, lanzamiento de plancha y pase de antebrazos al aro de baloncesto, el líbero se incorporara lo más rápido que pueda para realizar el pase con los antebrazos.;12;50;10;1;18;0;0;Recepción;Técnica;./images/ejer37.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
51;Toque de antebrazos sentado;Sentado en el suelo, golpe de antebrazos contra la pared hacia dos marcas una arriba y otra en la parte inferior.;6;40;6;1;40;0;0;Recepción;Técnica;./images/ejer38.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
52;Toques individuales en línea;El propio jugador se lanza el balón y realiza de uno a tres toques de antebrazos y avanza por todo el campo, fijándose una línea como referencia.;6;40;6;1;40;0;0;Recepción;Técnica;./images/ejer39.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
53;Recepción de saques flotantes;Recepción de saques flotantes desde una distancia de 7 metros de la red. En la zona 1, con la pierna derecha adelantada y en la zona 6, con las piernas parejas colocado de frente al jugador que ejecuta el saque. Se apuntará a zona 2 y a zona 3.;14;40;10;2;20;0;0;Recepción;Táctica;./images/ejer40.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
54;Recepción de saques flotantes por parejas;Los saques flotantes a una distancia de 7 metros de la red y recepción de dos jugadores situados a una distancia de 2 metros uno al lado del otro, el jugador que no recepciona el saque, sale corriendo hacia la zona 3 en busca del balón recepcionado por su compañero y se la envía al jugador que realizó en saque.;14;40;10;3;20;0;0;Recepción;Táctica;./images/ejer41.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
55;Recepción de saques flotantes cambiando de zona;Recepción de saques flotantes desde una distancia de 7 metros de la red. El jugador receptor efectuará la recepción empezando en zona 1, y siguiendo en zona 6 y 5.;14;40;10;3;20;0;0;Recepción;Táctica;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
56;Recepción de saques de potencia por parejas;Saques en suspensión de potencia dirigidos hacia la zona 1 y 6 donde se encuentran los jugadores líberos realizando la recepción de los mismos con el pie derecho algo adelantado en el zona 1 y con los pies parejos en la zona 6 pero colocado de frente al jugador que ejecutará el saque. Después de cada recepción del saque, realizar caídas de plancha en la zona 1 hacia la derecha.;14;40;10;3;20;0;0;Recepción;Táctica;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
57;Recepción de saques con plancha;Saques en suspensión de potencia dirigidos hacia la zona 1 y 6 donde se encuentran los jugadores líberos realizando la recepción de los mismos con el pie derecho algo adelantado en el zona 1 y con los pies parejos en la zona 6 pero colocado de frente al jugador que ejecutara el saque.;14;40;10;3;20;0;0;Recepción;Táctica;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
58;Juego 3 contra 3 para líberos;Juego de 3 jugadores líberos contra 3 jugadores restantes, los líberos deben enviar el balón al terreno contrario después de realizar la recepción correcta hacia la 3, los jugadores contrarios, además de realizar el saque, pueden rematar desde zona zaguera.;14;40;15;6;12;0;0;Recepción;Táctica;./images/ejer42.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
59;Juego 2 contra 2 en media pista;Juego de 2 jugadores líberos y un colocador contra 2 jugadores restantes y un colocador. Se realizará en media pista y comenzará con un saque hacia los líberos.;14;40;15;12;24;0;0;Recepción;Táctica;./images/ejer43.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
60;Defensa de remate y fintas por parejas;El jugador líbero o receptor se coloca de frente a la red y al compañero que le realizará varios ataques y fintas de manera diagonal, las que este deberá defender enviando el balón a su compañero, separados a 5 metros de distancia.;14;40;8;2;20;0;0;Defensa;Técnica;./images/ejer44.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
61;Defensa de remate y fintas diagonales por parejas;El jugador líbero o receptor se coloca de frente a la red y al compañero que le realizará varios ataques y fintas las que este deberá defender enviando el balón a su compañero, separados a 5 metros de distancia.;14;40;8;2;20;0;0;Defensa;Técnica;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
62;Defensa de remate con colocación;Un rematador B recibe el balón de A (colocador) y remata hacia C (líbero) quien defiende hacia A.;14;40;8;3;20;0;0;Defensa;Técnica;./images/ejer45.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
63;Defensa de remate desde zonas 2 y 4;Defienden tres jugadores líberos cada uno en una zona zaguera dirigiendo el balón hacia un colocador, que colocará el balón a dos atacantes que se encuentran en las esquinas de las zonas 4 y 2 para darle continuidad al balón y a la defensa del mismo.;14;40;8;3;20;0;0;Defensa;Técnica;./images/ejer46.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
64;Remate desde zona 4 y defensa en zona 5 y 6;Dos jugadores líberos ubicados en la zona 5 y 6 defienden remates diagonales de sus compañeros desde el terreno contrario eb zona 4 dirigiendo el balón hacia la zona 3 con planchas después de cada defensa del campo.;14;40;10;4;20;0;0;Defensa;Técnica;./images/ejer47.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
65;Remate desde zona 2 y defensa en zona 5 y 7;Dos jugadores líberos ubicados en la zona 5 y 6 defienden remates diagonales de sus compañeros desde el terreno contrario en zona 3 dirigiendo el balón hacia la zona 3 con planchas después de cada defensa del campo.;14;40;10;4;20;0;0;Defensa;Técnica;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
66;Bloqueo por parejas y defensa zaguera;Un rematador A frente a dos bloqueadores B, C. El rematador se lanza auto pase y remata por un lado o por arriba, los bloqueadores saltan, el líbero está a cuatro metros atrás, observa al rematador y defiende el balón lanzado.;14;40;8;4;20;0;0;Bloqueo;Táctica;./images/ejer48.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
67;Defensa en zona 5 de doble remate;Un líbero defiende en zona 5 a dos jugadores que rematan desde zona 2 y 4 en el campo contrario, en la línea y diagonal. El jugador líbero defiende un remate diagonal y uno sobre la línea.;14;40;8;4;20;0;0;Defensa;Técnica;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
68;Defensa de remates centrales;Defensa de remates de primer tiempo realizado por jugadores centrales, donde los líberos deben realizar la defensa de los mismos hacia la zona marcada en el terreno.;14;40;8;4;20;0;0;Defensa;Táctica;./images/ejer49.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
69;Remates desde zona 3 y 4 con continuidad;Ejercicio para trabajar la defensa, conjuntamente con la colocación y el remate diagonal desde la zona 4 y de primer tiempo desde la zona 3, dándole continuidad al ejercicio.;14;40;12;6;30;0;0;Equilibrado;Táctica;./images/ejer50.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
70;Juego 3 contra 3 en media pista;Juego de 3 contra 3 tomando la mitad de la cancha, en uno de estos equipos se encuentran un jugador líbero, un colocador y un rematador que realiza los remates hacia el jugador líbero, este defiende hacia el pasador y continúa el juego.;14;40;15;12;24;0;0;Defensa;Táctica;./images/ejer51.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
71;Juego 4 contra 4, rematadores contra líberos;Juego de 4 contra 4 con un bloqueo activo para que se organice observando hacia donde se coloca el bloqueador, en uno de estos equipos se encuentran los tres jugadores líberos y un pasador donde este equipo lo único que realiza son acciones defensivas, todo lo contrario al otro equipo que puede realizar ataques zagueros.;14;40;15;12;24;0;0;Defensa;Táctica;./images/ejer52.png;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
72;Juego 6 contra 6 con saque hacia el líbero;Juego de 6 contra 6 jugadores K-1 contra K-2 con la tarea definida de realizar el saque hacia el jugador líbero en el K-1, se realiza el remate de forma diagonal por la zona 4 y lineal por la zona 2, por el centro del terreno no hay remate para que el bloqueo se oriente en la forma que se desea que defienda el jugador líbero.;14;40;20;12;24;0;0;Equilibrado;Táctica;;Dialnet-EjerciciosParaElJugadorLiberoEnElVoleibolComoDepor
73;Fuerza con brazos y piernas;Dos jugadores, espalda contra espalda y sentados, intentan desequilibrarse empujándose mutuamente hasta que alguno salga de la línea de 3 metros. Se puede hacer de cara agarrándose las manos.;6;18;4;2;40;0;0;Equilibrado;Físico;./images/ejer53.png;1000 ejercicios/pág.19
74;Equilibrio en plancha;Los dos jugadores se tumban en el suelo en posición de plancha, con una mano levantada, con la cual deberán intentar hacer caer al compañero sin perder el equilibrio.;6;18;4;2;40;0;0;Equilibrado;Físico;./images/ejer54.png;1000 ejercicios/pág.19
75;Fuerza de piernas;Dos jugadores agachados en cuclillas tratan de empujarse fuera de la zona de 3 metros utilizando manos y hombros.;6;18;4;2;40;0;0;Equilibrado;Físico;./images/ejer55.png;1000 ejercicios/pág.19
76;Fuerza de brazos;Dos jugadores de pie sobre una línea, tratan de desequilibrarse mutuamente o leventar el pie de la línea. Para ello, pueden empujarse con las manos.;6;18;4;2;40;0;0;Equilibrado;Físico;./images/ejer56.png;1000 ejercicios/pág.19
77;Sumo;Dos jugadores se sitúan frente a frente, con los pies separados y las palmas de las manos dirigidas al compañero. A la señal del entrenador, cada uno trata de desequilibrar al otro, de tal modo que sus dos pies no toquen el suelo.;6;18;5;2;40;0;0;Equilibrado;Físico;./images/ejer57.png;1000 ejercicios/pág.19
78;Reacción de perro y amo;Un jugador se sitúa de cuclillas al lado del otro. El jugador que está de pie se mueve de manera aleatoria por el campo, y el otro le debe seguir de cuclillas lo más rápido que pueda, situándose al lado de su pie izquierdo. A la mitad del ejercicio, los dos compañeros cambian sus roles.;6;18;4;2;40;0;0;Equilibrado;Físico;./images/ejer58.png;1000 ejercicios/pág.19
79;Persecución por parejas;Uno de los jugadores trata de atrapar al otro. Cuando consigue tocarle, cambian de rol. Se puede realizar una variante, realizando el ejercicio a la pata coja.;6;18;5;2;40;0;0;Equilibrado;Físico;./images/ejer59.png;1000 ejercicios/pág.20
80;La carretilla;Las parejas recorren una distancia de 9 metros, sujetando uno al otro por los pies, mientras este avanza sobre las manos. Se cambian los roles a cada vuelta.;6;18;4;2;40;0;0;Defensa;Físico;./images/ejer60.png;1000 ejercicios/pág.20
81;Las ranas;Los jugadores sostienen un balón de voleibol entre las piernas y avanzan con saltos de rana. Los cazadores avanazan del mismo modo, pero sujetando un balón de baloncesto. Cuando un jugador logra tocar a otro o se le escapa el balón, se intercambian los roles.;6;18;4;2;40;0;0;Defensa;Físico;./images/ejer61.png;1000 ejercicios/pág.20
82;El oro de China;3-10 jugadores intentan pasar por encima de los obstáculos y escapar de 2-3 defensores para entrar en China y llevarse el oro, que serán por ejemplo pelotas de tenis o de voleibol. Cuando un defensor toca a un jugador, este le roba una pelota. Gana el equipo que más pelotas tenga al final del tiempo.;6;18;10;5;13;0;0;Equilibrado;Táctica;./images/ejer62.png;1000 ejercicios/pág.20
83;Contrabandistas;De 1 a 3 defensores se sitúan en la zona central del campo, y el resto de jugadores a cada lado del campo. Los jugadores deben intentar cruzar al otro lado sin ser tocados, y si son tocados, se intercambian el rol con un defensor.;6;18;10;5;15;0;0;Equilibrado;Táctica;./images/ejer63.png;1000 ejercicios/pág.20
84;El círculo;De 6 a 8 jugadores se agarran por la mano y forman un círculo con un aro en el centro. Cada uno trata de mover a sus compañeros al centro del aro para que pierdan un punto.;6;18;5;6;24;0;0;Equilibrado;Físico;./images/ejer64.png;1000 ejercicios/pág.21
